Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 11:04:20.9637892,46.25745,0.03311382,-0.03710295,-0.1282048,8.762893,0.8465796,359.5461,0.09603836,-0.3956453,0.03186341,346.3245,0.5862518,356.7855,0,0
2018/07/10 - 11:04:20.9747596,46.26862,0.03325227,-0.0371962,-0.1279134,8.779603,0.8518364,359.5111,0.09585846,-0.3942775,0.03077899,345.863,0.3670571,356.8548,0,0
2018/07/10 - 11:04:20.9867543,46.28017,0.03349102,-0.03733393,-0.127472,8.896698,0.9552577,359.5016,0.09549327,-0.393023,0.02973221,345.342,0.1728576,357.2,0,0
2018/07/10 - 11:04:20.9976989,46.29116,0.03370765,-0.03752354,-0.1271782,8.926737,1.046269,359.4778,0.09517927,-0.3918042,0.02883689,344.9464,0.05381783,357.5122,0,0
2018/07/10 - 11:04:21.0076720,46.30216,0.03408954,-0.03763462,-0.1268901,9.099213,1.134465,359.3898,0.09497185,-0.3905497,0.02822953,344.89,0.1124963,357.566,0,0
2018/07/10 - 11:04:21.0195353,46.31321,0.03431519,-0.03776764,-0.1266853,9.159327,1.295974,359.347,0.09497587,-0.3892059,0.02772233,345.0238,0.2808941,357.3523,0,0
2018/07/10 - 11:04:21.0305046,46.32429,0.03465142,-0.03791816,-0.1265106,9.203768,1.437675,359.3162,0.09516444,-0.3877438,0.02722189,345.2876,0.5366227,356.9391,0,0
2018/07/10 - 11:04:21.0424737,46.33536,0.03492524,-0.03807643,-0.1263811,9.249413,1.60646,359.1703,0.09532607,-0.386167,0.02657802,345.4817,0.7421427,356.5742,0,0
2018/07/10 - 11:04:21.0524463,46.34649,0.03534053,-0.03827883,-0.1262567,9.291436,1.790662,359.1912,0.09541997,-0.3844155,0.02562759,345.3212,0.8896428,356.2731,0,0
2018/07/10 - 11:04:21.0634170,46.35747,0.03569577,-0.03837099,-0.1261108,9.425645,1.978561,359.1479,0.09535929,-0.3827822,0.02447087,344.8557,1.004915,356.217,0,0
2018/07/10 - 11:04:21.0743869,46.36844,0.036061,-0.03854734,-0.1259976,9.506961,2.194647,359.0818,0.09510574,-0.3812608,0.02332959,344.3018,1.102656,356.5059,0,0
2018/07/10 - 11:04:21.0863557,46.37983,0.03644948,-0.03874124,-0.1259489,9.588719,2.419357,359.0349,0.09478901,-0.3798933,0.0224473,343.9984,1.118711,356.8797,0,0
2018/07/10 - 11:04:21.0973292,46.3909,0.03684415,-0.03886956,-0.1258755,9.666554,2.630317,358.9922,0.09456354,-0.3786045,0.02171259,343.8149,1.069286,357.0721,0,0
2018/07/10 - 11:04:21.1072990,46.40166,0.0372109,-0.03898856,-0.1257514,9.707328,2.835869,358.9253,0.09444123,-0.3774416,0.02110431,343.6988,0.9664817,357.0867,0,0
2018/07/10 - 11:04:21.1197920,46.41286,0.03757162,-0.03902849,-0.1256472,9.791933,3.038225,358.9106,0.09438533,-0.3763492,0.02052449,343.5479,0.8515346,357.0737,0,0
2018/07/10 - 11:04:21.1297433,46.42441,0.03789726,-0.0391333,-0.1255754,9.839528,3.227813,358.876,0.09442587,-0.3753713,0.02006196,343.3547,0.7763453,357.0179,0,0
2018/07/10 - 11:04:21.1417127,46.43501,0.03819783,-0.0392445,-0.1255812,9.921371,3.413703,358.8564,0.09461824,-0.374529,0.01972013,343.21,0.83851,356.9193,0,0
2018/07/10 - 11:04:21.1516850,46.4465,0.03846733,-0.03938768,-0.1255789,9.961712,3.588958,358.8261,0.09501558,-0.3738241,0.01966153,343.2063,1.072446,356.7258,0,0
2018/07/10 - 11:04:21.1636763,46.4574,0.03877152,-0.03949466,-0.1256052,10.03658,3.69983,358.8184,0.09546927,-0.3731709,0.01964615,343.2785,1.364834,356.5162,0,0
2018/07/10 - 11:04:21.1746234,46.46872,0.03902187,-0.03959927,-0.1256024,10.0687,3.771409,358.7922,0.09599108,-0.3727066,0.01978851,343.3622,1.740719,356.3425,0,0
