Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 10:44:13.1649142,136.0468,0.228311,-0.05926673,-0.2595564,0.462727,352.9407,2.77115,0.337467,-0.6692994,-0.1084462,326.8353,346.3992,10.86995,0,0
2018/07/10 - 10:44:13.1768825,136.0579,0.2278887,-0.05933661,-0.2594258,0.4930526,352.6425,2.763845,0.3372756,-0.6684194,-0.1079184,331.0619,345.4529,12.02241,0,0
2018/07/10 - 10:44:13.1868551,136.0696,0.227363,-0.05945393,-0.259259,0.5001991,352.3288,2.737352,0.3371505,-0.6675829,-0.1073137,335.2919,344.4006,12.8048,0,0
2018/07/10 - 10:44:13.1988230,136.0808,0.2268145,-0.05944673,-0.2591735,0.658743,351.8502,2.691275,0.3371264,-0.666781,-0.106616,339.5851,342.9367,13.26606,0,0
2018/07/10 - 10:44:13.2087965,136.0919,0.2262098,-0.05954826,-0.2590557,0.7842886,351.3976,2.663613,0.3370998,-0.6659415,-0.1057578,344.3979,341.4254,13.38646,0,0
2018/07/10 - 10:44:13.2207858,136.1025,0.2255799,-0.05981851,-0.2589228,0.8443697,350.8978,2.617969,0.3369143,-0.6651761,-0.1048667,349.2407,340.1909,13.74186,0,0
2018/07/10 - 10:44:13.2327324,136.114,0.2249972,-0.06000066,-0.2588641,1.0225,350.3717,2.542415,0.3365785,-0.6645004,-0.1039648,354.0338,339.5336,14.18556,0,0
2018/07/10 - 10:44:13.2437034,136.1253,0.2243141,-0.06012523,-0.2587537,1.202169,349.8835,2.375195,0.3362245,-0.6639624,-0.1031183,358.3237,339.5166,14.35564,0,0
2018/07/10 - 10:44:13.2546838,136.1371,0.2236396,-0.06025692,-0.2586441,1.386782,349.4514,2.339817,0.3357415,-0.6635452,-0.1023632,2.260267,339.6107,15.16175,0,0
2018/07/10 - 10:44:13.2646476,136.1473,0.2230158,-0.06043046,-0.2584665,1.508316,348.9985,2.33248,0.3354615,-0.6632321,-0.1016703,5.55775,339.374,15.35297,0,0
2018/07/10 - 10:44:13.2766155,136.1584,0.2223736,-0.06060691,-0.2583337,1.628336,348.5219,2.213163,0.3353708,-0.6631935,-0.1015807,6.056621,339.4091,15.57981,0,0
2018/07/10 - 10:44:13.2875851,136.1695,0.2217814,-0.06084649,-0.2582318,1.782177,348.113,2.268874,0.3355114,-0.6633272,-0.1018969,4.513813,339.8012,15.32144,0,0
2018/07/10 - 10:44:13.2985564,136.1806,0.2210523,-0.06103402,-0.2580956,1.996714,347.6741,2.169352,0.3357451,-0.6632723,-0.1017359,4.877348,339.0654,14.38799,0,0
2018/07/10 - 10:44:13.3095277,136.1916,0.2203591,-0.06125937,-0.2579182,2.212635,347.1967,2.144326,0.3360949,-0.6631109,-0.1012535,6.379692,337.1962,12.86788,0,0
2018/07/10 - 10:44:13.3214945,136.2025,0.2196424,-0.06152675,-0.2577631,2.453542,346.7016,2.025594,0.3368495,-0.6629463,-0.1005128,8.031683,333.6737,9.709809,0,0
2018/07/10 - 10:44:13.3324661,136.2142,0.2188843,-0.06183495,-0.257562,2.666971,346.2283,1.941959,0.337538,-0.6628045,-0.09957238,10.12442,330.4314,6.090855,0,0
2018/07/10 - 10:44:13.3426656,136.2253,0.2181465,-0.06211491,-0.2573591,2.887952,345.7682,1.958462,0.3382545,-0.6627489,-0.09850349,12.21418,327.3052,1.770838,0,0
2018/07/10 - 10:44:13.3556337,136.2362,0.2174602,-0.06236604,-0.2571442,3.12158,345.1829,1.898047,0.3387588,-0.662768,-0.09760299,13.9974,325.272,358.1339,0,0
2018/07/10 - 10:44:13.3656049,136.2476,0.2167223,-0.06268705,-0.256827,3.354698,344.6428,1.951081,0.33911,-0.6628302,-0.09703568,15.06752,324.4739,355.5105,0,0
2018/07/10 - 10:44:13.3775720,136.2588,0.2159274,-0.0630374,-0.2564951,3.587367,344.0309,1.855706,0.3393113,-0.6628831,-0.09679359,15.48083,324.4388,354.1079,0,0
2018/07/10 - 10:44:13.3885419,136.27,0.215103,-0.06338406,-0.2561771,3.955857,343.4395,1.840239,0.3392504,-0.6628675,-0.09689794,15.32754,324.79,354.5368,0,0
2018/07/10 - 10:44:13.4005104,136.2819,0.2143792,-0.06382287,-0.2559822,4.344512,342.7917,1.756992,0.3391679,-0.6628417,-0.09689698,15.43218,324.4618,354.9226,0,0
2018/07/10 - 10:44:13.4114811,136.2932,0.2136003,-0.06430708,-0.255752,4.706867,342.1704,1.618547,0.3389674,-0.6627824,-0.0969183,15.6782,323.9243,355.8546,0,0
2018/07/10 - 10:44:13.4214546,136.3038,0.2127915,-0.06474605,-0.2555426,5.155812,341.5909,1.451715,0.3387667,-0.6627241,-0.09688696,16.0111,322.8393,356.7508,0,0
2018/07/10 - 10:44:13.4334217,136.3148,0.2120828,-0.06526175,-0.2553096,5.483395,341.0184,1.374804,0.3386211,-0.6626825,-0.09682475,16.27283,321.3822,357.4155,0,0
2018/07/10 - 10:44:13.4439031,136.3258,0.2114742,-0.06570499,-0.2551182,5.764745,340.4229,1.253957,0.3387404,-0.662713,-0.09677284,15.86051,319.9063,357.1596,0,0
2018/07/10 - 10:44:13.4558683,136.3365,0.2108667,-0.06609096,-0.2549618,6.027767,339.9226,1.211194,0.2229728,-0.5974335,-0.07269277,13.54798,320.775,355.0384,0,0
2018/07/10 - 10:44:13.4658417,136.3476,0.2103544,-0.06645694,-0.2548473,6.268824,339.4155,1.221621,0.2233583,-0.5975671,-0.07268294,12.53498,320.4567,353.7153,0,0
2018/07/10 - 10:44:13.4768127,136.3585,0.2097445,-0.06684873,-0.2547684,6.538191,338.9199,1.187019,0.2183847,-0.5903842,-0.07995159,11.7745,319.5695,353.0911,0,0
2018/07/10 - 10:44:13.4877831,136.3695,0.209144,-0.06721678,-0.2547941,6.869619,338.414,1.124335,0.2147618,-0.5796661,-0.08854689,10.48887,320.9476,352.5932,0,0
2018/07/10 - 10:44:13.4987544,136.3811,0.2085645,-0.0676327,-0.254848,7.216692,337.8917,1.04926,0.2148165,-0.5772858,-0.08968674,8.872028,322.4062,352.1553,0,0
