Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 10:33:49.9421544,1.022221,-0.008222675,-0.01117761,-0.1658889,349.3279,23.51891,359.3544,0.1510178,-0.3376073,0.005333594,333.1981,25.21615,352.0054,0,0
2018/07/10 - 10:33:49.9531251,1.033328,-0.00849011,-0.01036687,-0.1672523,348.7584,23.73634,359.3078,0.1520237,-0.3349355,0.004751404,333.3759,25.46,351.5042,0,0
2018/07/10 - 10:33:49.9640967,1.044384,-0.008716276,-0.009673631,-0.1684299,348.1732,23.92017,359.2921,0.1528843,-0.332632,0.004313169,333.6006,25.36583,351.1098,0,0
2018/07/10 - 10:33:49.9760649,1.056091,-0.009001153,-0.008954547,-0.1696642,347.7583,24.10902,359.3005,0.1534317,-0.3304109,0.003685941,333.4967,25.3017,350.9011,1,0
2018/07/10 - 10:33:49.9860372,1.067366,-0.009282589,-0.008290194,-0.170812,347.2775,24.30515,359.2195,0.1536396,-0.3282444,0.002922367,333.134,25.1463,351.0999,1,0
2018/07/10 - 10:33:49.9972267,1.0777,-0.009565774,-0.007688911,-0.1719863,346.7969,24.5249,359.1064,0.1536438,-0.326159,0.002091724,332.5933,25.02635,351.5462,1,0
2018/07/10 - 10:33:50.0211626,1.088323,-0.009814203,-0.007119759,-0.1731589,346.3309,24.75678,359.0213,0.1535158,-0.3243499,0.001267123,331.9676,25.01395,352.2084,1,0
2018/07/10 - 10:33:50.0321333,1.09998,-0.01005692,-0.0067063,-0.1742649,346.0083,24.92928,358.9766,0.1539899,-0.3226008,0.0009526663,331.9556,25.38925,352.4238,1,0
2018/07/10 - 10:33:50.0411098,1.122014,-0.0105497,-0.005646099,-0.1764758,345.2279,25.3037,358.8073,0.1552249,-0.3189129,-0.000687363,331.7536,26.04692,352.2148,1,0
2018/07/10 - 10:33:50.0550717,1.133183,-0.01082973,-0.005259049,-0.1774411,344.9145,25.50375,358.7846,0.1562029,-0.3170515,-0.001602093,331.8633,26.40827,351.6001,1,0
2018/07/10 - 10:33:50.0630504,1.145168,-0.01108551,-0.004887367,-0.1783952,344.6402,25.60657,358.7687,0.1571869,-0.3151093,-0.002568913,331.9028,26.86202,350.7931,1,0
2018/07/10 - 10:33:50.0750178,1.155332,-0.01137413,-0.004510496,-0.1793684,344.3531,25.71485,358.7035,0.1578008,-0.3131971,-0.003587214,331.8496,27.23715,350.3277,1,0
2018/07/10 - 10:33:50.0869860,1.166452,-0.01166011,-0.004176823,-0.180316,344.0539,25.82395,358.6784,0.1579072,-0.3113249,-0.004847703,331.5396,27.37118,350.1677,1,0
2018/07/10 - 10:33:50.0969592,1.178216,-0.01193847,-0.003820184,-0.1812832,343.8071,25.88489,358.6524,0.1576913,-0.3095361,-0.00611397,331.111,27.24908,350.2997,1,0
2018/07/10 - 10:33:50.1079310,1.188522,-0.01221774,-0.003518253,-0.182163,343.5562,25.96609,358.6472,0.1572613,-0.3078308,-0.007464275,330.5165,27.0687,350.7203,1,0
2018/07/10 - 10:33:50.1189017,1.199667,-0.01251455,-0.003198244,-0.1830325,343.3364,26.03625,358.637,0.1568154,-0.3061731,-0.009099311,329.6942,27.23328,351.2499,1,0
2018/07/10 - 10:33:50.1308686,1.210881,-0.01281503,-0.002937544,-0.1838697,343.116,26.0808,358.6057,0.1564757,-0.304541,-0.01075217,328.8732,27.81389,351.6829,1,0
2018/07/10 - 10:33:50.1408432,1.221779,-0.01304966,-0.002654812,-0.1847936,342.9468,26.05185,358.6321,0.1562132,-0.3027648,-0.01237741,328.1441,28.3489,351.943,1,0
2018/07/10 - 10:33:50.1528103,1.232926,-0.01330438,-0.002488662,-0.1854343,342.6883,26.13298,358.7062,0.1558407,-0.3011641,-0.01415142,327.5304,28.61634,352.0718,1,0
2018/07/10 - 10:33:50.1627837,1.243702,-0.01365476,-0.002172779,-0.186151,342.5266,26.14578,358.6491,0.1553985,-0.2996083,-0.0158677,326.992,28.72978,352.1546,1,0
2018/07/10 - 10:33:50.1747517,1.255,-0.01396453,-0.00188131,-0.1867639,342.3296,26.12658,358.6459,0.1548463,-0.2980721,-0.01745813,326.5234,28.59673,352.2885,1,0
2018/07/10 - 10:33:50.1847251,1.26609,-0.01426286,-0.001618214,-0.1873657,342.1766,26.11488,358.6973,0.1544072,-0.2965749,-0.01912152,326.0348,28.59766,352.2845,1,0
2018/07/10 - 10:33:50.1976907,1.276858,-0.01456237,-0.001421824,-0.1878701,342.0088,26.09054,358.7584,0.154024,-0.2951684,-0.02091132,325.5045,28.69496,352.2321,1,0
